season_id,game_id,date,team,opponent_team,is_home,player,minutes,starter,points,fgm,fga,3pm,3pa,ftm,fta,oreb,dreb,rebounds,assists,turnovers,steals,blocks,fouls,plus_minus,dnp_reason
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Alex Nguyen,22,0,6,3,8,0,2,0,1,0,5,5,4,2,2,0,0,3,
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Jordan Patel,24,1,13,4,8,3,5,2,2,1,0,1,0,0,0,0,1,2,
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Casey Garcia,40,1,24,11,14,2,4,0,4,0,4,4,1,3,2,1,7,-3,
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Taylor Johnson,28,1,2,1,8,0,4,0,2,1,3,4,1,3,0,0,2,-1,
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Morgan Kim,40,1,19,9,19,1,1,0,1,2,7,9,7,1,1,2,3,-10,
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Riley Brown,19,0,7,2,2,1,1,2,2,1,4,5,3,1,1,1,1,-5,
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Cameron Martinez,23,1,5,2,6,0,2,1,3,2,2,4,5,0,0,1,1,-2,
MH-2025,G001,2025-12-05,River City Rapids,Pine Valley Pioneers,1,Drew Lopez,4,0,2,1,3,0,0,0,0,0,1,1,1,0,1,0,0,-3,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Quinn Anderson,40,1,11,4,9,0,0,3,3,2,4,6,10,2,2,1,3,5,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Avery Clark,29,1,16,7,8,1,1,1,1,2,5,7,1,0,2,0,3,8,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Parker Lewis,19,0,9,3,10,0,1,3,3,0,3,3,2,1,1,0,1,-2,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Reese Walker,30,1,24,11,13,0,0,2,2,0,4,4,2,4,0,0,1,-1,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Hayden Young,21,1,10,5,7,0,0,0,0,0,3,3,1,0,1,0,2,2,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Rowan Allen,11,0,2,1,1,0,0,0,0,0,7,7,2,0,1,1,0,6,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Logan Scott,13,0,3,1,3,0,0,1,2,2,1,3,1,1,1,0,1,-3,
MH-2025,G001,2025-12-05,Pine Valley Pioneers,River City Rapids,0,Blake Hill,37,1,10,4,4,1,1,1,1,0,5,5,4,2,2,0,3,3,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Quinn Anderson,33,1,8,3,12,2,3,0,3,2,1,3,5,1,2,1,2,1,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Avery Clark,36,1,7,3,3,0,0,1,2,0,6,6,4,2,1,1,4,-1,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Parker Lewis,40,1,17,6,17,1,4,4,7,0,3,3,4,3,1,0,1,1,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Reese Walker,24,1,11,5,10,0,0,1,2,1,8,9,4,2,3,0,0,1,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Hayden Young,40,1,20,10,15,0,0,0,2,0,8,8,4,2,1,1,4,-3,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Rowan Allen,6,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,-1,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Logan Scott,12,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,4,
MH-2025,G002,2025-12-08,Pine Valley Pioneers,River City Rapids,1,Blake Hill,9,0,4,2,2,0,0,0,1,0,2,2,0,0,0,0,0,-3,
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Alex Nguyen,40,1,5,2,6,1,3,0,0,4,4,8,5,4,1,0,3,-7,
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Jordan Patel,40,1,10,4,10,0,0,2,2,1,5,6,2,0,0,1,3,-6,
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Casey Garcia,31,1,15,5,9,2,3,3,4,1,8,9,2,0,3,0,4,0,
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Taylor Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OUT - Injury
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Morgan Kim,28,1,17,7,16,1,3,2,2,0,9,9,4,5,1,2,3,-1,
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Riley Brown,24,0,2,0,1,0,0,2,2,1,3,4,5,0,2,1,2,3,
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Cameron Martinez,28,1,14,5,13,1,4,3,3,1,4,5,1,0,2,2,1,-8,
MH-2025,G002,2025-12-08,River City Rapids,Pine Valley Pioneers,0,Drew Lopez,8,0,3,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Elliot Green,40,1,14,7,21,0,4,0,1,4,5,9,6,1,0,0,4,-1,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Emerson Adams,26,1,6,3,7,0,3,0,1,0,6,6,4,3,2,0,2,5,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Kai Baker,30,1,8,3,5,1,2,1,1,0,4,4,2,1,2,0,2,2,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Jules Nelson,32,1,4,2,13,0,1,0,1,0,2,2,6,2,2,0,2,0,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Marley Carter,33,1,16,8,10,0,0,0,3,0,3,3,5,3,0,0,2,2,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Sage Mitchell,25,0,15,7,9,1,1,0,0,0,4,4,0,1,1,0,2,1,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Spencer Perez,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
MH-2025,G003,2025-12-11,Lakeshore Lynx,River City Rapids,1,Dakota Roberts,12,0,6,3,3,0,0,0,0,0,1,1,2,0,0,0,3,-1,
MH-2025,G003,2025-12-11,River City Rapids,Lakeshore Lynx,0,Alex Nguyen,12,0,7,3,4,1,1,0,0,1,3,4,2,0,0,0,1,-5,
MH-2025,G003,2025-12-11,River City Rapids,Lakeshore Lynx,0,Jordan Patel,8,0,3,1,4,1,3,0,1,0,3,3,3,1,1,0,0,-5,
MH-2025,G003,2025-12-11,River City Rapids,Lakeshore Lynx,0,Casey Garcia,40,1,26,11,23,2,4,2,5,0,4,4,5,1,3,1,3,1,
